,school,applicant_number,sat_low,sat_upper,accept_rate,rate
253,Drew University,3788,1110.0,1310.0,69.2,ok
254,Gustavus Adolphus College,4957,990.0,1200.0,69.2,ok
255,Central Michigan,16411,1040.0,1265.0,69.5,ok
256,Oklahoma State University,15277,1070.0,1270.0,70.0,ok
257,Bradley University,10708,1150.0,1310.0,70.2,ok
258,Seton Hall University,19260,1080.0,1310.0,70.4,ok
259,Biola University,4149,1140.0,1320.0,70.5,ok
260,Ursinus College,3361,990.0,1170.0,70.9,ok
261,Montclair State,14324,1160.0,1350.0,70.9,ok
262,Clarkson University,6885,1100.0,1320.0,71.1,ok
263,Michigan State University,44322,1070.0,1300.0,71.1,ok
264,Hollins University,3244,1150.0,1350.0,71.2,ok
265,Creighton University,10112,1070.0,1250.0,71.4,ok
266,California Lutheran University,5752,1050.0,1269.0,71.5,ok
267,University of Mary Washington,5909,1110.0,1280.0,71.8,ok
268,Christopher Newport University,7204,980.0,1180.0,71.9,ok
269,University of California—Merced,25368,1180.0,1340.0,72.0,ok
270,Mercer University,5454,1120.0,1320.0,72.0,ok
271,University of Dayton,17462,1220.0,1400.0,72.0,ok
272,Lewis & Clark College,5863,1153.0,1390.0,72.2,ok
273,Hendrix College,1545,1012.0,1345.0,72.2,ok
274,University of Rhode Island,21259,990.0,1180.0,72.3,ok
275,California State University--Chico,25908,1110.0,1300.0,72.3,ok
276,Stetson University,13005,1090.0,1260.0,72.4,ok
277,Quinnipiac University,22753,1130.0,1300.0,72.5,ok
278,Duquesne University,7411,1030.0,1260.0,72.5,ok
279,University of Illinois—​Chicago,22696,990.0,1230.0,72.7,ok
280,University of Akron,14553,1070.0,1270.0,73.0,ok
281,St. John's University (NY),27276,1160.0,1370.0,73.1,ok
282,University of Cincinnati,23296,1110.0,1290.0,73.1,ok
283,Simmons University,2933,1010.0,1230.0,73.1,ok
284,Wayne State University,15716,1150.0,1330.0,73.1,ok
285,Butler University,14891,1140.0,1310.0,73.2,ok
286,Point Loma Nazarene University,3277,1060.0,1250.0,73.7,ok
287,University of North Texas,21540,1108.0,1273.0,73.7,ok
288,University of North Georgia,6498,1070.0,1250.0,73.7,ok
289,Xavier University,15100,1150.0,1340.0,73.8,ok
290,Wheaton College (MA),3460,970.0,1190.0,73.9,ok
291,Eastern Michigan,14323,1038.0,1250.0,74.1,ok
292,University of Washington--Bothell,4242,1080.0,1270.0,74.1,ok
293,Adelphi University,13006,1030.0,1250.0,74.2,ok
294,Baldwin Wallace University,3926,1170.0,1370.0,74.2,ok
295,Michigan Technological University,5978,1190.0,1390.0,74.3,ok
